r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)  drho/dr (kg/m^4)   dn_e/dr (fm^{-3}/m)
11.7151   1.14513154e+32   1.39509103   4.857498e+13   -0.659209852   1.54249101   0.028832688   1063.03326   218.213469   40   39.9903801   0.00108492139   0.0229138155   947.67247   -3.74574979e+14   -6.43337281e-06
11.71635   1.13251406e+32   1.39514344   4.81086889e+13   -0.659228947   1.54243317   0.0285566179   1060.69736   217.859499   40   39.9906199   0.00107689975   0.0226910444   947.644289   -3.71489634e+14   -6.40114365e-06
11.7176   1.12002062e+32   1.39519536   4.76462559e+13   -0.659248039   1.54237505   0.0282828231   1058.37151   217.503716   40   39.9908504   0.00106891853   0.0224702348   947.616117   -3.68402832e+14   -6.3686778e-06
11.71885   1.10765017e+32   1.3952468   4.71876819e+13   -0.659267128   1.54231666   0.0280113042   1056.05594   217.146263   40   39.9910722   0.00106097805   0.0222513819   947.587956   -3.65315843e+14   -6.33597865e-06
11.7201   1.09540164e+32   1.39529775   4.67329663e+13   -0.659286212   1.54225799   0.0277420611   1053.75084   216.787282   40   39.9912855   0.00105307859   0.0220344805   947.559806   -3.62229868e+14   -6.30304955e-06
11.72135   1.08327399e+32   1.39534822   4.62821072e+13   -0.659305293   1.54219906   0.0274750928   1051.4564   216.426909   40   39.9914908   0.00104522043   0.0218195248   947.53167   -3.59146041e+14   -6.26989388e-06
11.7226   1.07126615e+32   1.39539821   4.58351012e+13   -0.65932437   1.54213985   0.0272103974   1049.17279   216.065275   40   39.9916884   0.00103740385   0.0216065081   947.503547   -3.5606561e+14   -6.23651819e-06
11.72385   1.05937708e+32   1.39544773   4.53919432e+13   -0.659343443   1.54208038   0.0269479721   1046.90014   215.702505   40   39.9918787   0.00102962913   0.0213954235   947.475439   -3.52989837e+14   -6.20293035e-06
11.7251   1.04760572e+32   1.39549678   4.49526266e+13   -0.659362513   1.54202064   0.0266878132   1044.63857   215.338721   40   39.9920619   0.00102189653   0.0211862631   947.447347   -3.49919842e+14   -6.16913702e-06
11.72635   1.03595102e+32   1.39554537   4.45171436e+13   -0.659381579   1.54196065   0.0264299161   1042.38818   214.974041   40   39.9922385   0.00101420629   0.0209790187   947.419272   -3.46856714e+14   -6.13514527e-06
11.7276   1.02441194e+32   1.39559349   4.40854848e+13   -0.659400641   1.54190039   0.0261742755   1040.14903   214.608575   40   39.9924087   0.00100655866   0.0207736815   947.391215   -3.43801502e+14   -6.10096263e-06
11.72885   1.01298743e+32   1.39564116   4.36576398e+13   -0.659419699   1.54183988   0.0259208854   1037.9212   214.242433   40   39.9925728   0.000998953882   0.0205702422   947.363176   -3.40755224e+14   -6.06659707e-06
11.7301   1.00167647e+32   1.39568838   4.32335967e+13   -0.659438753   1.54177912   0.0256697389   1035.70472   213.875717   40   39.9927311   0.00099139217   0.0203686909   947.335158   -3.37718859e+14   -6.0320569e-06
11.73135   9.90477999e+31   1.39573515   4.28133426e+13   -0.659457804   1.54171811   0.0254208284   1033.49962   213.508526   40   39.9928837   0.00098387374   0.0201690176   947.30716   -3.34693351e+14   -5.99735078e-06
